row_id,article_id,title,content,published_at
0d23bd41-cb68-444a-955f-eefe546a70f1,https://gizmodo.com/antarcticas-oldest-largest-iceberg-is-turning-an-ominous-blue-color-2000707527,"Antarctica’s Oldest, Largest Iceberg Is Turning an Ominous Blue Color - Gizmodo","New satellite images of what was once the largest iceberg in the world show warning signs of its imminent demise, revealing extensive pools of aquamarine blue water melting on its surface.
NASA’s Ea… [+3314 chars]",2026-01-08T17:15:47Z
0266a010-b9f0-47bd-a621-fb8f23518c45,https://www.irs.gov/newsroom/irs-announces-first-day-of-2026-filing-season-online-tools-and-resources-help-with-tax-filing,IRS announces first day of 2026 filing season; online tools and resources help with tax filing - IRS (.gov),"IR-2026-02, Jan. 8, 2026
WASHINGTON The Internal Revenue Service announced Monday, January 26, 2026, as the opening of the nations 2026 filing season. This year, several new tax law provisions of th… [+4198 chars]",2026-01-08T16:18:45Z
9d7c15b9-7209-4354-b41b-5ccfd89cd894,https://www.washingtonpost.com/entertainment/tv/2026/01/08/the-pitt-season-two-review/,‘The Pitt’ takes a deep breath and nails its second act - The Washington Post,"Per the gifted doctors and pedagogues on HBOs The Pitt, good emergency medicine requires following established protocols to the letter until youre forced to think outside the box. At that point, crea… [+47 chars]",2026-01-08T16:01:56Z
d769b762-237e-4313-ac47-840ba2e8e71c,https://www.cnbc.com/2026/01/08/venezuela-senate-voting-on-halting-military-action-after-maduro-capture.html,Senate votes to block Trump from future military strikes on Venezuela - CNBC,"The Senate on Thursday voted 52-47 to block President Donald Trump from further military action in Venezuela. 
The move came less than a week after Trump authorized a strike that captured the countr… [+2432 chars]",2026-01-08T16:01:42Z
b9fc1a55-b150-4981-b86e-927e20d7d3e2,https://abcnews.go.com/Technology/wireStory/philippines-evacuates-3000-people-after-activity-increases-mayon-129000629,"Philippines evacuates 3,000 people after activity increases at Mayon Volcano - abcnews.go.com","MANILA, Philippines -- A series of mild eruptions at the most active volcano in the Philippines has prompted the evacuation of nearly 3,000 villagers from a danger zone on its foothills, officials sa… [+3074 chars]",2026-01-08T15:41:32Z
216b9785-ce1e-4602-bb1d-cdcc01466d55,https://abcnews.go.com/US/harvey-weinstein-critical-hearing-grant-new-trial/story?id\\u003d129014006,Harvey Weinstein to appear at critical hearing that could grant him new trial - abcnews.go.com,,2026-01-08T15:05:35Z
15522f2c-627e-409e-9832-883c1dd40b19,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/one-or-more-playoff-teams-could-be-lurking-for-john-harbaugh,One or more playoff teams could be lurking for John Harbaugh - NBC Sports,"When it comes to finding his next coaching job, John Harbaugh will attack the day with an enthusiasm unknown to mankind.
Starting next week.
The plan to press pause conflicts with the Harbaugh ethi… [+3298 chars]",2026-01-08T14:45:17Z
382654e1-d5f1-4547-a81e-98175e3d683e,https://www.theverge.com/news/858501/bose-soundtouch-smart-speakers-open-source,Bose is open-sourcing its old smart speakers instead of bricking them - The Verge,"<ul><li></li><li></li><li></li></ul>
SoundTouch speakers could now have a second life and wont lose support until May.
SoundTouch speakers could now have a second life and wont lose support until M… [+2788 chars]",2026-01-08T14:42:48Z
485954c5-a087-4701-a97f-47e4ae1d76f5,https://www.cnbc.com/2026/01/08/trade-deficit-in-october-hits-smallest-since-2009-after-trumps-tariff-moves.html,Trade deficit in October hits smallest since 2009 after Trump's tariff moves - CNBC,"The U.S. trade deficit six months into President Donald Trump's tariffs tumbled to its lowest level since mid-2009, the Commerce Department reported Thursday.
With exports rising and imports falling… [+2360 chars]",2026-01-08T14:32:19Z
473ece4e-e65a-4f8b-8ca1-3142eb70c423,https://www.buccaneers.com/news/buccaneers-make-changes-2026-coaching-staff,Buccaneers Make Changes to 2026 Coaching Staff - Tampa Bay Buccaneers,"On Thursday, the Bucs parted ways with five assistant coaches, including Offensive Coordinator Josh Grizzard and Special Teams Coordinator Thomas McGaughey, while Tom Moore and Nick Rapone elected to retire",2026-01-08T19:33:01Z
